QueryLogID,EmployeeID,QueryTime,QueryType,RowsExamined,RowsReturned,ExecutionTime,QueryLength,IsSensitive,SourceIP,Affected_table,Labels
543,5,2026-01-21 08:00:28.193,UPDATE,87,80,1.6738498273816278,79,True,192.168.3.47,IT,0
544,5,2026-01-21 08:00:28.193,DELETE,21,77,0.5276980120725326,176,False,192.168.3.47,IT,0
545,5,2026-01-21 09:12:28.193,DELETE,55,83,1.5245383625059912,79,False,192.168.3.47,IT,0
546,13,2026-01-21 09:12:28.193,SELECT,78,57,0.9606337486847799,159,False,192.168.3.173,IT,0
547,13,2026-01-21 09:12:28.193,DELETE,68,86,1.9535513108148181,114,False,192.168.3.173,IT,0
548,13,2026-01-21 09:12:28.193,UPDATE,69,18,0.8261751501083533,37,True,192.168.3.173,IT,0
549,13,2026-01-21 09:12:28.193,DELETE,50,76,0.148970635207646,109,False,192.168.3.173,IT,0
550,13,2026-01-21 09:12:28.193,UPDATE,62,88,1.1473358393030917,172,False,192.168.3.173,IT,0
551,13,2026-01-21 09:12:28.193,UPDATE,73,37,0.4199268888878731,155,False,192.168.3.173,IT,0
552,13,2026-01-21 09:12:28.193,INSERT,11,40,1.5359272207577563,36,False,192.168.3.173,IT,0
553,11,2026-01-21 09:12:28.193,DELETE,81,89,0.319795091934851,159,True,192.168.2.109,IT,0
554,11,2026-01-21 09:12:28.193,DELETE,67,19,1.1032213732475629,130,True,192.168.2.109,IT,0
555,11,2026-01-21 09:12:28.193,DELETE,62,13,1.8922421894645254,133,False,192.168.2.109,IT,0
556,11,2026-01-21 09:12:28.193,UPDATE,39,68,0.8349577069331605,50,False,192.168.2.109,IT,0
557,8,2026-01-21 09:12:28.193,UPDATE,46,70,1.2512410567487422,73,False,192.168.2.231,Finance,0
558,8,2026-01-21 09:12:28.193,DELETE,60,21,0.27924527412223143,176,False,192.168.2.231,Finance,0
559,8,2026-01-21 09:12:28.193,SELECT,33,100,1.4047919830932571,137,False,192.168.2.231,Finance,0
560,8,2026-01-21 09:12:28.193,UPDATE,7,24,0.5966312242233774,66,True,192.168.2.231,Finance,0
561,8,2026-01-21 09:12:28.193,UPDATE,8,31,0.7759015543186762,52,False,192.168.2.231,Finance,0
562,8,2026-01-21 09:12:28.193,INSERT,12,37,1.7194083030344527,110,False,192.168.2.231,Finance,0
563,8,2026-01-21 09:12:28.193,DELETE,90,47,1.6193653450558683,115,True,192.168.2.231,Finance,0
564,14,2026-01-21 09:12:28.193,SELECT,75,48,1.8806067454044355,33,False,192.168.0.132,IT,0
565,14,2026-01-21 09:12:28.193,DELETE,54,49,1.1316730079041437,125,False,192.168.0.132,IT,0
566,14,2026-01-21 09:12:28.193,UPDATE,25,22,0.7263803318954841,85,False,192.168.0.132,IT,0
567,14,2026-01-21 09:12:28.193,SELECT,36,32,1.0221124637713874,135,False,192.168.0.132,IT,0
568,14,2026-01-21 09:12:28.193,UPDATE,85,50,0.7331836420347811,156,False,192.168.0.132,IT,0
569,14,2026-01-21 09:12:28.193,DELETE,47,8,1.2680637448090286,161,False,192.168.0.132,IT,0
570,14,2026-01-21 09:12:28.193,DELETE,39,92,0.5288994833606541,103,False,192.168.0.132,IT,0
571,9,2026-01-21 09:12:28.193,INSERT,72,30,0.7030817359043506,143,False,192.168.0.173,IT,0
572,9,2026-01-21 09:16:28.147,INSERT,61,66,1.32364784673291,143,False,192.168.0.173,IT,0
573,9,2026-01-21 09:16:28.147,INSERT,52,51,0.47049651998013775,95,False,192.168.0.173,IT,0
574,9,2026-01-21 09:16:28.147,SELECT,29,47,0.8020537163513147,102,False,192.168.0.173,IT,0
575,9,2026-01-21 09:16:28.147,INSERT,34,54,0.315866683274179,60,False,192.168.0.173,IT,0
576,9,2026-01-21 09:16:28.147,UPDATE,73,74,0.9305718612563011,124,True,192.168.0.173,IT,0
577,9,2026-01-21 09:16:28.147,SELECT,94,1,1.5875652029600171,85,False,192.168.0.173,IT,0
578,1,2026-01-21 09:16:28.147,SELECT,30,42,0.2607388352794445,47,False,192.168.2.177,HR,0
579,1,2026-01-21 09:16:28.147,UPDATE,83,52,1.3776219701832844,143,False,192.168.2.177,HR,0
580,1,2026-01-21 10:02:19.893,UPDATE,14,85,0.5297211298599984,26,False,192.168.2.177,HR,0
581,1,2026-01-21 10:02:19.893,UPDATE,68,94,0.8364999980794072,40,False,192.168.2.177,HR,0
582,1,2026-01-21 10:02:19.893,DELETE,41,25,1.4890255553940956,114,False,192.168.2.177,HR,0
583,1,2026-01-21 10:02:19.893,SELECT,47,87,1.6670035035734407,174,False,192.168.2.177,HR,0
584,1,2026-01-21 10:02:19.893,INSERT,48,6,0.8796434350606747,129,False,192.168.2.177,HR,0
585,4,2026-01-21 10:16:21.173,INSERT,75,40,1.8082849800235354,25,False,192.168.3.47,Finance,0
586,4,2026-01-21 10:16:21.173,SELECT,74,98,0.7474252579831754,144,False,192.168.3.47,Finance,0
